"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"232","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","John Nalbone (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Deangelo Peterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"243","Buck Ortega (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Jake Nordin (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"249","Ross Travis (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.2%"
"251","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"252","Tyler Ott (SEA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"253","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"254","Bronson Kaufusi (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Seth DeValve (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"256","Jerell Adams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
