"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"234","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"235","Amon-Ra St. Brown (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"236","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.1%"
"237","John Ursua (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Jaylen Waddle (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.7%"
"239","Ja'Marr Chase (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.6%"
"240","Ishmael Hyman (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Isaiah Coulter (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","Juwann Winfree (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"243","Quinton Bell (TB)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"244","Kirk Merritt (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Lynn Bowden Jr. (MIA)","28","37","211","7.5","22","0","0","9","32","0","0","10","0.0","0.0","0.7%"
"246","Tarik Black (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Ventell Bryant (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Jason Moore (LAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"249","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","D.J. Montgomery (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Thomas Ives (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Damion Willis (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Tyler Vaughns (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Easop Winston Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Kalija Lipscomb (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Isaiah Hodgins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"260","Malik Henry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Aaron Fuller (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
